,University Tenure Track,University Tenured,FAS Tenure Track,FAS Tenured,Medicine Tenure Track,Medicine Tenured,Business Tenure Track,Business Tenured,PublicHealth Tenure Track,PublicHealth Tenured,Law Tenure Track,Law Tenured,Government Tenure Track,Government Tenured,Design Tenure Track,Design Tenured,Education Tenure Track,Education Tenured,Divinity Tenure Track,Divinity Tenured
2008,10,5,11,5,7,2,11,5,10,3,0,10,14,8,10,17,12,4,0,9
2009,11,5,11,5,7,2,11,5,10,3,0,10,19,6,14,14,15,4,0,9
2010,9,6,9,6,5,3,9,5,8,4,0,10,18,8,12,17,10,11,13,9
2011,10,6,11,6,5,3,8,5,8,4,0,11,21,8,13,13,10,12,33,10
2012,10,6,11,6,6,3,7,7,8,6,0,11,22,8,8,13,13,13,50,10
2013,10,6,10,6,9,2,8,6,9,5,0,11,14,9,7,15,20,12,50,19
2014,11,7,11,7,12,2,7,6,12,6,0,10,15,10,9,13,21,13,38,20
2015,11,7,9,7,13,2,8,6,12,7,0,11,23,10,9,14,22,13,33,18
2016,11,8,9,8,13,3,7,7,11,6,17,12,24,7,11,15,21,22,38,17
2017,11,8,7,8,9,4,10,7,12,7,20,11,24,7,11,15,29,20,50,19
2018,11,8,9,9,11,4,10,7,13,8,17,11,22,7,8,15,21,27,50,21
