,University Tenure Track,University Tenured,FAS Tenure Track,FAS Tenured,Medicine Tenure Track,Medicine Tenured,Business Tenure Track,Business Tenured,PublicHealth Tenure Track,PublicHealth Tenured,Law Tenure Track,Law Tenured,Government Tenure Track,Government Tenured,Design Tenure Track,Design Tenured,Education Tenure Track,Education Tenured,Divinity Tenure Track,Divinity Tenured
2008,37,21,37,20,33,15,28,17,41,23,57,17,33,20,38,24,65,36,33,36
2009,38,20,39,21,35,14,29,16,40,23,40,17,33,20,38,21,65,35,33,32
2010,37,21,37,21,37,15,29,18,41,23,40,17,27,20,47,20,57,37,38,36
2011,37,22,36,22,32,17,31,19,44,23,33,19,32,29,42,19,57,44,33,38
2012,36,22,36,22,37,17,33,19,41,24,13,20,30,29,38,19,52,46,25,40
2013,35,24,34,23,34,18,33,20,41,25,0,20,19,21,39,21,55,50,33,38
2014,37,24,35,24,36,19,33,20,44,25,0,19,30,23,41,25,53,46,25,40
2015,38,25,37,24,36,19,36,20,41,24,33,22,36,22,34,25,56,44,33,41
2016,39,26,40,26,30,22,42,21,36,26,50,22,33,22,32,27,53,52,38,39
2017,39,26,42,26,32,23,39,21,38,29,60,21,29,23,32,27,53,48,50,37
2018,40,27,43,27,34,23,35,21,42,31,67,24,33,21,37,27,50,50,50,39
